facility,address,city,state,zip,county,hosp_type,total_beds
Community Hospital Association,"26136 US Highway 59, PO Box 107",Fairfax,MO,64446,Atchison,Critical Access,18
Scotland County Hospital,450 E. Sigler Avenue,Memphis,MO,63555,Scotland,Critical Access,25
Mosaic Medical Center - Maryville,2016 South Main Street,Maryville,MO,64468,Nodaway,General Acute Care,81
Putnam County Memorial Hospital,"1926 Oak Street, P.O. Box 389",Unionville,MO,63565,Putnam,Critical Access,15
Mosaic Medical Center - Albany,705 N. College Street,Albany,MO,64402,Gentry,Critical Access,25
Sullivan County Memorial Hospital,630 West 3rd Street,Milan,MO,63556,Sullivan,Critical Access,25
Northeast Regional Medical Center,315 South Osteopathy,Kirksville,MO,63501,Adair,General Acute Care,93
Macon County Samaritan Memorial Hospital,1205 North Missouri St,Macon,MO,63552,Macon,Critical Access,25
Pershing (General John J) Memorial Hospital,130 East Lockling,Brookfield,MO,64628,Linn,Critical Access,25
Hedrick Medical Center,2799 North Washington Street,Chillicothe,MO,64601,Livingston,Critical Access,25
Hannibal Regional Hospital,"6000 Hospital Drive, PO Box 551",Hannibal,MO,63401,Marion,General Acute Care,99
Northwest MO Psychiatric Rehab Ctr,3505 Frederick Avenue,St. Joseph,MO,64506,Buchanan,Psychiatric Hospital,0
Mosaic Life Care at St. Joseph,5325 Faraon Street,St. Joseph,MO,64506,Buchanan,General Acute Care,348
"Long-Term Acute Care Hospital, Mosaic Life Care at St. Joseph",5325 Faraon Street,St. Joseph,MO,64506,Buchanan,Other Hospital Type,41
"Cameron Regional Medical Center, Inc.","1600 East Evergreen, P.O. Box 557",Cameron,MO,64429,Clinton,General Acute Care,58
Carroll County Memorial Hospital,1502 North Jefferson,Carrollton,MO,64633,Carroll,Critical Access,25
Pike County Memorial Hospital,2305 Georgia Street,Louisiana,MO,63353,Pike,Critical Access,25
Moberly Regional Medical Center,1515 Union Avenue,Moberly,MO,65270,Randolph,General Acute Care,99
Ray County Memorial Hospital,904 Wollard Boulevard,Richmond,MO,64085,Ray,Critical Access,25
Saint Luke's North Hospital,5830 NW Barry Road,Kansas City,MO,64154,Platte,General Acute Care,97
Kindred Hospital Northland,500 NW 68th Street,Kansas City,MO,64118,Clay,Long Term Care,50
Saint Luke's North Hospital,601 South 169 Highway,Smithville,MO,64089,Clay,General Acute Care,64
Excelsior Springs Hospital,1700 Rainbow Boulevard,Excelsior Springs,MO,64024,Clay,Critical Access,20
Liberty Hospital,2525 Glenn Hendren Drive,Liberty,MO,64068,Clay,General Acute Care,204
Signature Psychiatric Hospital Liberty,2525 Glenn Hendren Drive,Liberty,MO,64068,Clay,Psychiatric Hospital,40
Fitzgibbon Hospital,"2305 South 65 Highway, P.O. Box 250",Marshall,MO,65340,Saline,General Acute Care,60
Boone Hospital Center,1600 East Broadway,Columbia,MO,65201,Boone,General Acute Care,392
Women's and Children's Hospital,404 Keene Street,Columbia,MO,65201,Boone,General Acute Care,0
University Of Missouri Health Care,"One Hospital Drive, Room CE 121",Columbia,MO,65212,Boone,General Acute Care,0
Harry S Truman Memorial Veterans Hospital,800 Hospital Drive,Columbia,MO,65201,Boone,VA,123
"Landmark Hospital of Columbia, LLC",604 Old Hwy 63 N,Columbia,MO,65201,Boone,General Acute Care,39
"Rusk Rehabilitation Hospital, an affiliation of Encompass Health and MU Health Care",315 Business Loop 70 West,Columbia,MO,65203,Boone,Rehabilitation Hospital,60
CenterPointe Hospital of Columbia,1201 International Drive,Columbia,MO,65202,Boone,Psychiatric Hospital,80
Mercy Hospital Lincoln,1000 East Cherry,Troy,MO,63379,Lincoln,Critical Access,25
Lafayette Regional Health Center,1500 State Street,Lexington,MO,64067,Lafayette,Critical Access,25
Center for Behavioral Medicine,1000 East 24th Street,Kansas City,MO,64108,Jackson,Psychiatric Hospital,0
Crittenton Children's Center,10918 Elm Avenue,Kansas City,MO,64134,Jackson,Psychiatric Hospital,46
Research Psychiatric Center - A Campus of Research Medical Center,2323 East 63rd Street,Kansas City,MO,64130,Jackson,Psychiatric Hospital,100
St. Mary's Medical Center,201 NW R.D. Mize Road,Blue Springs,MO,64014,Jackson,General Acute Care,137
University Health Lakewood Medical Center,7900 Lee's Summit Road,Kansas City,MO,64139,Jackson,General Acute Care,305
Kansas City VA Medical Center,4801 Linwood Blvd.,Kansas City,MO,64128,Jackson,VA,142
Research Medical Center - Brookside Campus,6601 Rockhill Road,Kansas City,MO,64131,Jackson,General Acute Care,3
University Health Truman Medical Center 2,"1000 E 24th Street, 2 Center",Kansas City,MO,64108,Jackson,General Acute Care,50
St. Joseph Medical Center,1000 Carondelet Drive,Kansas City,MO,64114,Jackson,General Acute Care,271
Centerpoint Medical Center,19600 East 39th Street,Independence,MO,64057,Jackson,General Acute Care,285
