objectid,power_supplier
1,PPL
2,PGE
3,PGE
4,PGE
5,PGE
6,PGE
7,PGE
8,PGE
9,PGE
10,PGE
11,PGE
12,PGE
13,PPL
14,PGE
15,PGE
16,PGE
17,PGE
18,PGE
19,PGE
20,PPL
21,PGE
22,PGE
23,PGE
24,PGE
25,PGE
26,PGE
27,PGE
28,PPL
29,PGE
30,PGE
31,PGE
32,PPL
33,PGE
34,PGE
35,PGE
36,PPL
37,PPL
38,PPL
39,PGE
40,PGE
41,PGE
42,PPL
43,PPL
44,PPL
45,PGE
46,PGE
47,PGE
48,PGE
49,PGE
50,PGE
51,PGE
52,PGE
53,PGE
54,PPL
55,PPL
56,PGE
57,PGE
58,PGE
59,PGE
60,PGE
61,PGE
62,PGE
63,PGE
64,PGE
65,PGE
66,PGE
67,PGE
68,PGE
69,PPL
70,PPL
71,PGE
72,PGE
73,PGE
74,PGE
75,PGE
76,PGE
77,PGE
78,PGE
79,PGE
80,PGE
81,PGE
82,PGE
83,PPL
84,PPL
85,PPL
86,PPL
87,PPL
88,PPL
89,PPL
90,PPL
91,PPL
92,PPL
93,PPL
94,PPL
95,PGE
96,PPL
97,PPL
98,PPL
99,PPL
100,PPL
101,PPL
102,PPL
103,PPL
104,PPL
105,PGE
106,PPL
107,PGE
108,PGE
109,PGE
110,PGE
111,PGE
112,PPL
113,PGE
114,PGE
115,PGE
116,PGE
117,PGE
118,PPL
119,PGE
120,PPL
121,PGE
122,PGE
123,PGE
124,PGE
125,PGE
126,PPL
127,PPL
128,PPL
129,PPL
130,PGE
131,PGE
132,PPL
133,PGE
134,PPL
135,PPL
136,PPL
137,PGE
138,PGE
139,PGE
140,PGE
141,PGE
142,PGE
143,PGE
144,PGE
145,PGE
146,PPL
147,PPL
148,PPL
149,PPL
150,PPL
151,PPL
152,PPL
153,PPL
154,PPL
155,PPL
156,PPL
157,PPL
158,PPL
159,PPL
160,PPL
161,PPL
162,PPL
163,PPL
164,PGE
165,PGE
166,PGE
167,PGE
168,PGE
169,PGE
170,PGE
171,PPL
172,PPL
173,PPL
174,PPL
175,PPL
176,PPL
177,PPL
178,PPL
179,PPL
180,PPL
181,PPL
182,PPL
183,PPL
184,PPL
185,PPL
186,PGEGRESH
187,PPL
188,PPL
189,PPL
190,PPL
191,PPL
192,PGEGRESH
193,PGE
194,PGE
195,PGE
196,PGE
197,PGE
198,PPL
199,PPL
200,PPL
201,PPL
202,PGEGRESH
203,PPL
204,PPL
205,PPL
206,PPL
207,PPL
208,PPL
209,PPL
210,PPL
211,PPL
212,PPL
213,PGE
214,PPL
215,PPL
216,PPL
217,PPL
218,PPL
219,PPL
220,PPL
221,PPL
222,PPL
223,PPL
224,PPL
225,PPL
226,PPL
227,PPL
228,PPL
229,PPL
230,PPL
231,PGEGRESH
232,PPL
233,PPL
234,PPL
235,PPL
236,PPL
237,PPL
238,PPL
239,PPL
240,PPL
241,PGE
242,PPL
243,PPL
244,PPL
245,PPL
246,PPL
247,PPL
248,PPL
249,PPL
250,PPL
251,PPL
252,PPL
253,PPL
254,PPL
255,PPL
256,PPL
257,PPL
258,PPL
259,PPL
260,PPL
261,PPL
262,PPL
263,PPL
264,PPL
265,PGE
266,PPL
267,PPL
268,PPL
269,PPL
270,PGE
271,PPL
272,PPL
273,PPL
274,PPL
275,PPL
276,PPL
277,PPL
278,PPL
279,PPL
280,PPL
281,PGE
282,PPL
283,PGE
284,PPL
285,PPL
286,PPL
287,PPL
288,PPL
289,PPL
290,PPL
291,PGEGRESH
292,PPL
293,PGEGRESH
294,PPL
295,PPL
296,PGE
297,PPL
298,PPL
299,PPL
300,PPL
301,PPL
302,PPL
303,PPL
304,PGEGRESH
305,PGE
306,PPL
307,PPL
308,PGEGRESH
309,PGE
310,PPL
311,PPL
312,PPL
313,PGE
314,PPL
315,PGE
316,PGE
317,PPL
318,PPL
319,PPL
320,PGE
321,PGEGRESH
322,PPL
323,PPL
324,PPL
325,PPL
326,PGEGRESH
